State,Postcode,District,City/ Town
VIC,3000,melbourne,melbourne
VIC,3001,melbourne,melbourne
VIC,3002,melbourne,East melbourne
VIC,3003,melbourne,West melbourne
VIC,3005,melbourne,World Trade Centre
VIC,3006,melbourne,Southbank
VIC,3008,melbourne,Docklands
VIC,3010,melbourne,University Of melbourne
VIC,3011,melbourne,"Footscray, Seddon, Seddon West"
VIC,3012,melbourne,"Brooklyn, Kingsville, Maidstone, Tottenham, West Footscray"
VIC,3013,melbourne,"Yarraville, Yarraville West"
VIC,3015,melbourne,"Newport, South Kingsville, Spotswood"
VIC,3016,melbourne,Williamstown
VIC,3018,melbourne,"Altona, Seaholme"
VIC,3019,melbourne,"Braybrook, Robinson"
VIC,3020,melbourne,"Albion, Sunshine"
VIC,3021,melbourne,"Albanvale, Kealba, Kings Park, St Albans"
VIC,3022,melbourne,"Ardeer, Deer Park East"
VIC,3023,melbourne,"Burnside, Cairnlea, Caroline Springs, Deer Park"
VIC,3024,melbourne,"Mount Cottrell, Wyndham Vale"
VIC,3025,melbourne,Altona North
VIC,3026,melbourne,Laverton North
VIC,3028,melbourne,"Altona Meadows, Laverton, Seabrook"
VIC,3029,melbourne,"Hoppers Crossing, Tarneit, Truganina"
VIC,3030,melbourne,"Derrimut, Point Cook, Werribee"
VIC,3031,melbourne,"Flemington, Kensington"
VIC,3032,melbourne,"Ascot Vale, Highpoint City, Maribyrnong, Travancore"
VIC,3033,melbourne,East Keilor
VIC,3034,melbourne,Avondale Heights
VIC,3036,melbourne,"Keilor, Keilor North"
VIC,3037,melbourne,"Delahey, Hillside, Sydenham"
VIC,3038,melbourne,"Keilor Downs, Taylors Lakes"
VIC,3039,melbourne,Moonee Ponds
VIC,3040,melbourne,"Aberfeldie, Essendon, Essendon West"
VIC,3041,melbourne,"Essendon North, Strathmore, Strathmore Heights"
VIC,3042,melbourne,"Airport West, Keilor Park, Niddrie"
VIC,3043,melbourne,"Gladstone Park, Gowanbrae, Tullamarine"
VIC,3044,melbourne,"Pascoe Vale, Pascoe Vale South"
VIC,3045,melbourne,melbourne Airport
VIC,3046,melbourne,"Glenroy, Hadfield, Oak Park"
VIC,3047,melbourne,"Broadmeadows, Dallas, Jacana"
VIC,3048,melbourne,"Coolaroo, Meadow Heights"
VIC,3049,melbourne,"Attwood, Westmeadows"
VIC,3050,melbourne,Royal melbourne Hospital
VIC,3051,melbourne,"Hotham Hill, North melbourne"
VIC,3052,melbourne,"melbourne University, Parkville"
