"Postcode","Include","Confirmed","Population","Cases.per.100K","Low.income.Persons","Total.over.15","Low.income.Percent"
"3000","Yes",90,37975,237,7340,21977,33.4
"3002","Yes",7,4964,141.02,549,3812,14.4
"3003","Yes",34,5515,616.5,884,3633,24.33
"3004","Yes",34,9307,365.32,999,6708,14.89
"3005","No",0,525,0,61,307,19.87
"3006","Yes",46,18808,244.58,2303,12944,17.79
"3008","Yes",32,10437,306.6,1193,6799,17.55
"3010","No",0,1593,0,893,1053,84.81
"3011","Yes",99,21462,461.28,5011,14929,33.57
"3012","Yes",129,26298,490.53,5738,17609,32.59
"3013","Yes",38,14965,253.93,2740,10356,26.46
"3015","Yes",34,17472,194.6,3015,11740,25.68
"3016","Yes",30,15560,192.8,2894,10368,27.91
"3018","Yes",28,12689,220.66,2815,8816,31.93
"3019","Yes",107,9195,1163.68,2795,5740,48.69
"3020","Yes",300,44783,669.9,13276,28746,46.18
"3021","Yes",407,54191,751.05,16810,33864,49.64
"3022","No",93,3103,2997.1,805,1948,41.32
"3023","Yes",329,63972,514.29,12609,37172,33.92
"3024","Yes",151,23849,633.15,4277,13913,30.74
"3025","Yes",43,12152,353.85,3435,7871,43.64
"3026","No",53,73,72602.74,21,45,46.67
"3027","Yes",45,6646,677.1,789,3844,20.53
"3028","Yes",80,29201,273.96,7398,19468,38
"3029","Yes",830,93950,883.45,17024,54543,31.21
"3030","Yes",456,100313,454.58,18437,60414,30.52
"3031","Yes",329,18531,1775.4,3944,12864,30.66
"3032","Yes",135,29450,458.4,5796,20229,28.65
"3033","Yes",35,14514,241.15,3729,9890,37.7
"3034","Yes",68,11633,584.54,3362,7973,42.17
"3036","Yes",31,5925,523.21,1347,4094,32.9
"3037","Yes",255,51155,498.48,10652,31282,34.05
"3038","Yes",88,27262,322.79,6917,18593,37.2
"3039","Yes",66,14250,463.16,2791,9968,28
"3040","Yes",88,25936,339.3,4873,17969,27.12
"3041","Yes",28,12412,225.59,2354,8430,27.92
"3042","Yes",48,15766,304.45,3731,10925,34.15
"3043","Yes",48,17716,270.94,4573,12101,37.79
"3044","Yes",102,27116,376.16,5776,18111,31.89
"3045","No",0,104,0,3,31,9.68
"3046","Yes",173,34063,507.88,8728,22347,39.06
"3047","Yes",166,20903,794.14,6807,12025,56.61
