"Postcode","Include","Confirmed","Population","Cases.per.100K","Employed.transport","Employed.Persons","Employed.transport.Percent"
"3000","Yes",90,37975,237,360,16052,2.243
"3002","Yes",7,4964,141.02,71,3025,2.347
"3003","Yes",34,5515,616.5,96,3038,3.16
"3004","Yes",34,9307,365.32,153,5334,2.868
"3005","No",0,525,0,13,258,5.039
"3006","Yes",46,18808,244.58,280,10800,2.593
"3008","Yes",32,10437,306.6,185,5641,3.28
"3010","No",0,1593,0,3,698,0.43
"3011","Yes",99,21462,461.28,516,11141,4.632
"3012","Yes",129,26298,490.53,802,13180,6.085
"3013","Yes",38,14965,253.93,366,8134,4.5
"3015","Yes",34,17472,194.6,538,9319,5.773
"3016","Yes",30,15560,192.8,356,7619,4.673
"3018","Yes",28,12689,220.66,426,6025,7.071
"3019","Yes",107,9195,1163.68,250,3489,7.165
"3020","Yes",300,44783,669.9,1510,17452,8.652
"3021","Yes",407,54191,751.05,1895,19421,9.757
"3022","No",93,3103,2997.1,119,1253,9.497
"3023","Yes",329,63972,514.29,2739,27657,9.903
"3024","Yes",151,23849,633.15,1110,10588,10.484
"3025","Yes",43,12152,353.85,394,4640,8.491
"3026","No",53,73,72602.74,18,29,62.069
"3027","Yes",45,6646,677.1,256,3339,7.667
"3028","Yes",80,29201,273.96,1326,13439,9.867
"3029","Yes",830,93950,883.45,4905,41886,11.71
"3030","Yes",456,100313,454.58,4069,46067,8.833
"3031","Yes",329,18531,1775.4,392,9626,4.072
"3032","Yes",135,29450,458.4,766,15613,4.906
"3033","Yes",35,14514,241.15,498,6493,7.67
"3034","Yes",68,11633,584.54,317,4798,6.607
"3036","Yes",31,5925,523.21,238,2890,8.235
"3037","Yes",255,51155,498.48,2399,24008,9.993
"3038","Yes",88,27262,322.79,1257,13425,9.363
"3039","Yes",66,14250,463.16,336,7599,4.422
"3040","Yes",88,25936,339.3,757,13824,5.476
"3041","Yes",28,12412,225.59,410,6338,6.469
"3042","Yes",48,15766,304.45,655,7578,8.643
"3043","Yes",48,17716,270.94,902,7899,11.419
"3044","Yes",102,27116,376.16,723,13153,5.497
"3045","No",0,104,0,8,30,26.667
"3046","Yes",173,34063,507.88,1035,14560,7.109
"3047","Yes",166,20903,794.14,599,5709,10.492
"3048","Yes",87,18029,482.56,538,5126,10.496
"3049","Yes",28,9262,302.31,489,4596,10.64
"3050","No",1,117,854.7,3,24,12.5
"3051","Yes",218,14940,1459.17,204,6856,2.975
"3052","Yes",30,5694,526.87,73,2779,2.627
"3053","Yes",104,18535,561.1,145,6359,2.28
"3054","Yes",21,8428,249.17,108,5039,2.143
"3055","Yes",41,14159,289.57,299,7648,3.91
"3056","Yes",70,24473,286.03,411,14465,2.841
"3057","Yes",34,11504,295.55,186,7036,2.644
"3058","Yes",119,33778,352.3,724,16767,4.318
"3059","Yes",77,15466,497.87,711,7857,9.049
"3060","Yes",162,14043,1153.6,383,4937,7.758
"3061","Yes",14,5056,276.9,123,1438,8.554
"3062","No",0,0,0,0,0,NA
"3063","No",3,573,523.56,30,280,10.714
"3064","Yes",671,75457,889.25,3299,30981,10.648
"3065","Yes",75,10445,718.05,131,5427,2.414
"3066","Yes",86,8513,1010.22,115,4711,2.441
"3067","Yes",18,8197,219.59,147,5174,2.841
"3068","Yes",45,18662,241.13,193,10671,1.809
"3070","Yes",62,24561,252.43,312,13495,2.312
"3071","Yes",33,18568,177.73,301,9887,3.044
"3072","Yes",85,32851,258.74,627,15714,3.99
"3073","Yes",190,50474,376.43,1145,21414,5.347
"3074","Yes",115,20523,560.35,588,7369,7.979
"3075","Yes",82,22594,362.93,662,8194,8.079
"3076","Yes",219,32395,676.03,1213,14358,8.448
"3078","Yes",17,11638,146.07,164,6370,2.575
"3079","Yes",41,15988,256.44,211,8266,2.553
"3081","Yes",153,13424,1139.75,262,5567,4.706
