"Postcode","Include","Confirmed cases (ever)","Population","Cases.per.100K","Median_age_persons"
"3000","Yes",90,37975,237,26
"3002","Yes",7,4964,141.02,38
"3003","Yes",34,5515,616.5,30
"3004","Yes",34,9307,365.32,35
"3005","No",0,525,0,33
"3006","Yes",46,18808,244.58,30
"3008","Yes",32,10437,306.6,30
"3010","No",0,1593,0,20
"3011","Yes",99,21462,461.28,33
"3012","Yes",129,26298,490.53,33
"3013","Yes",38,14965,253.93,36
"3015","Yes",34,17472,194.6,37
"3016","Yes",30,15560,192.8,42
"3018","Yes",28,12689,220.66,42
"3019","Yes",107,9195,1163.68,32
"3020","Yes",300,44783,669.9,35
"3021","Yes",407,54191,751.05,35
"3022","No",93,3103,2997.1,35
"3023","Yes",329,63972,514.29,33
"3024","Yes",151,23849,633.15,31
"3025","Yes",43,12152,353.85,38
"3026","No",53,73,72602.74,52
"3027","Yes",45,6646,677.1,31
"3028","Yes",80,29201,273.96,36
"3029","Yes",830,93950,883.45,31
"3030","Yes",456,100313,454.58,33
"3031","Yes",329,18531,1775.4,33
"3032","Yes",135,29450,458.4,33
"3033","Yes",35,14514,241.15,43
"3034","Yes",68,11633,584.54,44
"3036","Yes",31,5925,523.21,44
"3037","Yes",255,51155,498.48,33
"3038","Yes",88,27262,322.79,41
"3039","Yes",66,14250,463.16,37
"3040","Yes",88,25936,339.3,37
"3041","Yes",28,12412,225.59,39
"3042","Yes",48,15766,304.45,40
"3043","Yes",48,17716,270.94,40
"3044","Yes",102,27116,376.16,37
"3045","No",0,104,0,33
"3046","Yes",173,34063,507.88,35
"3047","Yes",166,20903,794.14,31
"3048","Yes",87,18029,482.56,32
"3049","Yes",28,9262,302.31,39
"3050","No",1,117,854.7,36
"3051","Yes",218,14940,1459.17,28
"3052","Yes",30,5694,526.87,29
"3053","Yes",104,18535,561.1,24
"3054","Yes",21,8428,249.17,33
"3055","Yes",41,14159,289.57,34
"3056","Yes",70,24473,286.03,33
"3057","Yes",34,11504,295.55,32
"3058","Yes",119,33778,352.3,36
"3059","Yes",77,15466,497.87,34
"3060","Yes",162,14043,1153.6,34
"3061","Yes",14,5056,276.9,36
"3062","No",0,0,0,0
"3063","No",3,573,523.56,42
"3064","Yes",671,75457,889.25,30
"3065","Yes",75,10445,718.05,33
"3066","Yes",86,8513,1010.22,32
"3067","Yes",18,8197,219.59,32
"3068","Yes",45,18662,241.13,36
"3070","Yes",62,24561,252.43,36
"3071","Yes",33,18568,177.73,36
"3072","Yes",85,32851,258.74,36
"3073","Yes",190,50474,376.43,37
"3074","Yes",115,20523,560.35,38
"3075","Yes",82,22594,362.93,37
"3076","Yes",219,32395,676.03,33
"3078","Yes",17,11638,146.07,36
"3079","Yes",41,15988,256.44,40
"3081","Yes",153,13424,1139.75,35
"3082","Yes",89,29710,299.56,37
"3083","Yes",88,31526,279.13,34
"3084","Yes",61,25517,239.06,41
"3085","Yes",27,13886,194.44,38
"3087","Yes",9,9031,99.66,39
"3088","Yes",51,26892,189.65,40
"3089","Yes",17,11733,144.89,38
"3090","No",43,2364,1818.95,39
"3091","Yes",0,1588,0,43
"3093","Yes",9,3891,231.3,43
"3094","Yes",7,8960,78.12,40
"3095","Yes",29,27771,104.43,41
"3096","Yes",3,1961,152.98,42
"3097","No",2,1443,138.6,43
"3099","Yes",6,4878,123,42
"3101","Yes",37,24605,150.38,39
"3102","Yes",8,6635,120.57,40
"3103","Yes",9,15343,58.66,43
"3104","Yes",23,20406,112.71,41
"3105","Yes",9,10873,82.77,45
"3106","Yes",24,16618,144.42,45
"3107","Yes",8,13552,59.03,44
"3108","Yes",26,20826,124.84,42
"3109","Yes",41,28360,144.57,41
"3111","Yes",15,12347,121.49,44
"3113","Yes",7,8457,82.77,42
"3114","Yes",6,3822,156.99,43
"3115","Yes",5,3796,131.72,43
"3116","Yes",17,9872,172.2,39
"3121","Yes",93,30499,304.93,33
"3122","Yes",47,23511,199.91,32
"3123","Yes",21,14321,146.64,34
"3124","Yes",21,22094,95.05,41
"3125","Yes",31,15019,206.41,30
"3126","Yes",3,8056,37.24,44
"3127","Yes",8,18445,43.37,40
"3128","Yes",34,19828,171.47,33
"3129","Yes",8,17376,46.04,38
"3130","Yes",17,32174,52.84,40
"3131","Yes",18,22504,79.99,39
"3132","Yes",7,16148,43.35,38
"3133","Yes",21,22125,94.92,42
"3134","Yes",21,32781,64.06,38
"3135","Yes",10,19956,50.11,39
"3136","Yes",41,44369,92.41,38
"3137","Yes",69,13871,497.44,39
"3138","Yes",23,21967,104.7,36
"3139","Yes",8,13718,58.32,38
"3140","Yes",20,16531,120.98,39
"3141","Yes",49,25147,194.85,32
"3142","Yes",24,12909,185.92,45
"3143","Yes",26,9054,287.17,37
"3144","Yes",18,10886,165.35,41
"3145","Yes",28,23295,120.2,35
"3146","Yes",22,25255,87.11,37
"3147","Yes",21,14637,143.47,38
"3148","Yes",16,8641,185.16,33
"3149","Yes",25,33611,74.38,41
"3150","Yes",58,60079,96.54,42
"3151","Yes",7,10273,68.14,40
