"Postcode","Exclude","Confirmed cases (ever)","Population","Cases.per.100K","Semi.detached","Flat","House","Semi.detached_Percent","Flat_Percent","House_Percent","Total.dwelling"
"3000","Yes",90,37975,237,68,33473,67,0.199,98.107,0.196,34119
"3002","Yes",7,4964,141.02,978,2743,366,23.836,66.854,8.92,4103
"3003","Yes",34,5515,616.5,1232,3276,220,25.937,68.968,4.632,4750
"3004","Yes",34,9307,365.32,27,7949,32,0.336,99.065,0.399,8024
"3005","No",0,525,0,0,374,6,0,97.906,1.571,382
"3006","Yes",46,18808,244.58,344,15974,31,2.101,97.581,0.189,16370
"3008","Yes",32,10437,306.6,292,9238,10,3.047,96.41,0.104,9582
"3010","No",0,1593,0,0,0,3,0,0,9.677,31
"3011","Yes",99,21462,461.28,3294,6671,9251,16.945,34.318,47.59,19439
"3012","Yes",129,26298,490.53,5502,3588,15220,22.458,14.645,62.125,24499
"3013","Yes",38,14965,253.93,2214,873,10829,15.761,6.215,77.091,14047
"3015","Yes",34,17472,194.6,4539,784,11102,27.355,4.725,66.908,16593
"3016","Yes",30,15560,192.8,4127,1238,8969,28.531,8.559,62.005,14465
"3018","Yes",28,12689,220.66,3367,627,7932,28.131,5.239,66.271,11969
"3019","Yes",107,9195,1163.68,3716,206,4766,42.256,2.343,54.196,8794
"3020","Yes",300,44783,669.9,6117,2506,33463,14.485,5.934,79.24,42230
"3021","Yes",407,54191,751.05,4704,2945,43252,9.195,5.756,84.543,51160
"3022","No",93,3103,2997.1,440,12,2345,15.52,0.423,82.716,2835
"3023","Yes",329,63972,514.29,5423,400,54163,9.029,0.666,90.18,60061
"3024","Yes",151,23849,633.15,533,40,22201,2.336,0.175,97.292,22819
"3025","Yes",43,12152,353.85,2367,382,8387,21.104,3.406,74.777,11216
"3026","No",53,73,72602.74,9,0,0,17.308,0,0,52
"3027","Yes",45,6646,677.1,794,8,5742,12.124,0.122,87.678,6549
"3028","Yes",80,29201,273.96,5369,771,21241,19.566,2.81,77.409,27440
"3029","Yes",830,93950,883.45,12787,2145,74621,14.264,2.393,83.238,89648
"3030","Yes",456,100313,454.58,11096,1053,83449,11.579,1.099,87.082,95828
"3031","Yes",329,18531,1775.4,7217,6035,3458,42.864,35.844,20.538,16837
"3032","Yes",135,29450,458.4,7935,7337,12126,28.837,26.664,44.067,27517
"3033","Yes",35,14514,241.15,2090,104,11420,15.284,0.761,83.516,13674
"3034","Yes",68,11633,584.54,2174,40,8658,19.829,0.365,78.968,10964
"3036","Yes",31,5925,523.21,412,26,5194,7.309,0.461,92.141,5637
"3037","Yes",255,51155,498.48,7451,538,40848,15.236,1.1,83.529,48903
"3038","Yes",88,27262,322.79,2324,132,23671,8.887,0.505,90.513,26152
"3039","Yes",66,14250,463.16,2245,2520,8371,16.937,19.012,63.154,13255
"3040","Yes",88,25936,339.3,4195,4636,15267,17.322,19.143,63.04,24218
"3041","Yes",28,12412,225.59,1878,1196,8555,16.064,10.23,73.176,11691
"3042","Yes",48,15766,304.45,3513,208,11080,23.406,1.386,73.822,15009
"3043","Yes",48,17716,270.94,2452,127,14066,14.71,0.762,84.384,16669
"3044","Yes",102,27116,376.16,6909,878,17279,27.381,3.48,68.478,25233
"3045","No",0,104,0,0,0,0,0,0,0,5
"3046","Yes",173,34063,507.88,8052,1836,21911,25.193,5.745,68.555,31961
"3047","Yes",166,20903,794.14,1621,2308,14754,8.447,12.026,76.88,19191
"3048","Yes",87,18029,482.56,2060,140,14721,12.123,0.824,86.635,16992
"3049","Yes",28,9262,302.31,929,6,7725,10.535,0.068,87.605,8818
"3050","No",1,117,854.7,3,0,0,100,0,0,3
"3051","Yes",218,14940,1459.17,4011,7566,1005,31.528,59.472,7.9,12722
"3052","Yes",30,5694,526.87,1751,2316,329,39.437,52.162,7.41,4440
"3053","Yes",104,18535,561.1,2963,12148,209,19.119,78.384,1.349,15498
"3054","Yes",21,8428,249.17,5466,1435,793,70.023,18.383,10.159,7806
"3055","Yes",41,14159,289.57,2703,3897,6431,20.527,29.594,48.838,13168
"3056","Yes",70,24473,286.03,6727,5687,9827,29.833,25.221,43.581,22549
"3057","Yes",34,11504,295.55,3616,3447,3581,33.534,31.967,33.21,10783
"3058","Yes",119,33778,352.3,6915,1848,22715,21.826,5.833,71.695,31683
"3059","Yes",77,15466,497.87,447,3,14491,2.987,0.02,96.82,14967
"3060","Yes",162,14043,1153.6,1548,149,11386,11.762,1.132,86.513,13161
"3061","Yes",14,5056,276.9,207,108,4393,4.273,2.23,90.69,4844
"3062","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3063","No",3,573,523.56,0,0,552,0,0,100,552
"3064","Yes",671,75457,889.25,6413,672,65436,8.829,0.925,90.091,72633
"3065","Yes",75,10445,718.05,2774,4593,1413,31.256,51.752,15.921,8875
"3066","Yes",86,8513,1010.22,1457,4755,1176,19.354,63.164,15.622,7528
"3067","Yes",18,8197,219.59,2228,3796,1241,30.268,51.569,16.859,7361
"3068","Yes",45,18662,241.13,9410,3905,3423,55.694,23.112,20.259,16896
"3070","Yes",62,24561,252.43,6418,3190,12739,28.452,14.142,56.475,22557
"3071","Yes",33,18568,177.73,3277,3126,10592,19.09,18.21,61.703,17166
"3072","Yes",85,32851,258.74,6801,3200,19922,22.465,10.57,65.806,30274
"3073","Yes",190,50474,376.43,11423,1559,33728,24.307,3.317,71.769,46995
"3074","Yes",115,20523,560.35,1429,976,17308,7.221,4.932,87.458,19790
"3075","Yes",82,22594,362.93,923,1126,19499,4.272,5.212,90.256,21604
"3076","Yes",219,32395,676.03,5692,283,24957,18.385,0.914,80.61,30960
"3078","Yes",17,11638,146.07,2092,1932,6507,19.73,18.221,61.369,10603
"3079","Yes",41,15988,256.44,2308,1991,10616,15.378,13.266,70.736,15008
"3081","Yes",153,13424,1139.75,3528,717,7918,28.852,5.864,64.753,12228
"3082","Yes",89,29710,299.56,3995,230,24239,14.023,0.807,85.082,28489
"3083","Yes",88,31526,279.13,3956,2154,23526,13.323,7.254,79.233,29692
"3084","Yes",61,25517,239.06,2655,1960,19402,11.019,8.135,80.526,24094
"3085","Yes",27,13886,194.44,1738,152,10916,13.547,1.185,85.088,12829
"3087","Yes",9,9031,99.66,512,28,8105,5.916,0.324,93.656,8654
"3088","Yes",51,26892,189.65,2204,355,22951,8.624,1.389,89.803,25557
"3089","Yes",17,11733,144.89,437,40,10738,3.894,0.356,95.679,11223
"3090","No",43,2364,1818.95,22,0,2225,0.976,0,98.67,2255
"3091","Yes",0,1588,0,0,0,1455,0,0,98.244,1481
"3093","Yes",9,3891,231.3,521,117,2882,14.755,3.314,81.62,3531
"3094","Yes",7,8960,78.12,841,43,7556,9.928,0.508,89.198,8471
"3095","Yes",29,27771,104.43,785,719,24872,2.969,2.72,94.08,26437
"3096","Yes",3,1961,152.98,0,0,1745,0,0,99.886,1747
"3097","No",2,1443,138.6,9,0,1261,0.7,0,98.056,1286
"3099","Yes",6,4878,123,39,17,4490,0.856,0.373,98.573,4555
"3101","Yes",37,24605,150.38,5024,3806,13346,22.552,17.085,59.909,22277
"3102","Yes",8,6635,120.57,1185,494,4603,18.824,7.847,73.122,6295
"3103","Yes",9,15343,58.66,3162,1203,10201,21.585,8.212,69.636,14649
"3104","Yes",23,20406,112.71,2166,226,17232,10.997,1.147,87.49,19696
"3105","Yes",9,10873,82.77,1320,557,8549,12.628,5.329,81.785,10453
"3106","Yes",24,16618,144.42,2374,237,13012,15.169,1.514,83.144,15650
"3107","Yes",8,13552,59.03,2006,113,10677,15.621,0.88,83.141,12842
"3108","Yes",26,20826,124.84,3629,2371,14187,17.933,11.717,70.108,20236
"3109","Yes",41,28360,144.57,5759,1831,19738,20.956,6.663,71.824,27481
"3111","Yes",15,12347,121.49,801,174,10434,7.012,1.523,91.342,11423
"3113","Yes",7,8457,82.77,13,0,7872,0.164,0,99.256,7931
"3114","Yes",6,3822,156.99,3,0,3644,0.082,0,99.726,3654
"3115","Yes",5,3796,131.72,0,0,3592,0,0,99.75,3601
"3116","Yes",17,9872,172.2,108,0,9208,1.155,0,98.439,9354
