"Postcode","Include","Confirmed cases (ever)","Population","Cases.per.100K","Under.500","Under.500.Percent","Age.15.Over.not.Nil.or.Negative"
"3000","Yes",90,37975,237,7340,33.4,21977
"3002","Yes",7,4964,141.02,549,14.4,3812
"3003","Yes",34,5515,616.5,884,24.33,3633
"3004","Yes",34,9307,365.32,999,14.89,6708
"3005","No",0,525,0,61,19.87,307
"3006","Yes",46,18808,244.58,2303,17.79,12944
"3008","Yes",32,10437,306.6,1193,17.55,6799
"3010","No",0,1593,0,893,84.81,1053
"3011","Yes",99,21462,461.28,5011,33.57,14929
"3012","Yes",129,26298,490.53,5738,32.59,17609
"3013","Yes",38,14965,253.93,2740,26.46,10356
"3015","Yes",34,17472,194.6,3015,25.68,11740
"3016","Yes",30,15560,192.8,2894,27.91,10368
"3018","Yes",28,12689,220.66,2815,31.93,8816
"3019","Yes",107,9195,1163.68,2795,48.69,5740
"3020","Yes",300,44783,669.9,13276,46.18,28746
"3021","Yes",407,54191,751.05,16810,49.64,33864
"3022","No",93,3103,2997.1,805,41.32,1948
"3023","Yes",329,63972,514.29,12609,33.92,37172
"3024","Yes",151,23849,633.15,4277,30.74,13913
"3025","Yes",43,12152,353.85,3435,43.64,7871
"3026","No",53,73,72602.74,21,46.67,45
"3027","Yes",45,6646,677.1,789,20.53,3844
"3028","Yes",80,29201,273.96,7398,38,19468
"3029","Yes",830,93950,883.45,17024,31.21,54543
"3030","Yes",456,100313,454.58,18437,30.52,60414
"3031","Yes",329,18531,1775.4,3944,30.66,12864
"3032","Yes",135,29450,458.4,5796,28.65,20229
"3033","Yes",35,14514,241.15,3729,37.7,9890
"3034","Yes",68,11633,584.54,3362,42.17,7973
"3036","Yes",31,5925,523.21,1347,32.9,4094
"3037","Yes",255,51155,498.48,10652,34.05,31282
"3038","Yes",88,27262,322.79,6917,37.2,18593
"3039","Yes",66,14250,463.16,2791,28,9968
"3040","Yes",88,25936,339.3,4873,27.12,17969
"3041","Yes",28,12412,225.59,2354,27.92,8430
"3042","Yes",48,15766,304.45,3731,34.15,10925
"3043","Yes",48,17716,270.94,4573,37.79,12101
"3044","Yes",102,27116,376.16,5776,31.89,18111
"3045","No",0,104,0,3,9.68,31
"3046","Yes",173,34063,507.88,8728,39.06,22347
"3047","Yes",166,20903,794.14,6807,56.61,12025
"3048","Yes",87,18029,482.56,6105,57.05,10701
