"Postcode","Include","Confirmed","Population","Cases.per.100K","Rented.Dwellings","Occupied.dwellings","Rented.Percent"
"3000","Yes",90,37975,237,11710,16671,70.242
"3002","Yes",7,4964,141.02,1178,2173,54.211
"3003","Yes",34,5515,616.5,1298,2089,62.135
"3004","Yes",34,9307,365.32,2315,4337,53.378
"3005","No",0,525,0,94,169,55.621
"3006","Yes",46,18808,244.58,5291,8328,63.533
"3008","Yes",32,10437,306.6,2821,4497,62.731
"3010","No",0,1593,0,7,12,58.333
"3011","Yes",99,21462,461.28,4601,8451,54.443
"3012","Yes",129,26298,490.53,4207,9811,42.88
"3013","Yes",38,14965,253.93,1839,5591,32.892
"3015","Yes",34,17472,194.6,1946,6462,30.115
"3016","Yes",30,15560,192.8,1547,5687,27.202
"3018","Yes",28,12689,220.66,1564,5129,30.493
"3019","Yes",107,9195,1163.68,1458,2991,48.746
"3020","Yes",300,44783,669.9,4755,14707,32.332
"3021","Yes",407,54191,751.05,5213,17351,30.044
"3022","No",93,3103,2997.1,335,1077,31.105
"3023","Yes",329,63972,514.29,4091,18570,22.03
"3024","Yes",151,23849,633.15,2027,7400,27.392
"3025","Yes",43,12152,353.85,1273,4310,29.536
"3026","No",53,73,72602.74,25,43,58.14
"3027","Yes",45,6646,677.1,619,1961,31.566
"3028","Yes",80,29201,273.96,2947,10149,29.037
"3029","Yes",830,93950,883.45,7435,27726,26.816
"3030","Yes",456,100313,454.58,9475,31877,29.724
"3031","Yes",329,18531,1775.4,4195,7516,55.814
"3032","Yes",135,29450,458.4,4779,11186,42.723
"3033","Yes",35,14514,241.15,916,5095,17.978
"3034","Yes",68,11633,584.54,751,4109,18.277
"3036","Yes",31,5925,523.21,195,2045,9.535
"3037","Yes",255,51155,498.48,2795,15058,18.562
"3038","Yes",88,27262,322.79,1137,8626,13.181
"3039","Yes",66,14250,463.16,1971,5482,35.954
"3040","Yes",88,25936,339.3,3301,9632,34.271
"3041","Yes",28,12412,225.59,1046,4383,23.865
"3042","Yes",48,15766,304.45,1414,6021,23.484
"3043","Yes",48,17716,270.94,1600,6539,24.469
"3044","Yes",102,27116,376.16,2908,9873,29.454
"3045","No",0,104,0,3,5,60
"3046","Yes",173,34063,507.88,3946,12204,32.334
"3047","Yes",166,20903,794.14,2525,6236,40.491
"3048","Yes",87,18029,482.56,1553,5111,30.385
"3049","Yes",28,9262,302.31,563,3172,17.749
"3050","No",1,117,854.7,0,0,NA
"3051","Yes",218,14940,1459.17,4000,5904,67.751
"3052","Yes",30,5694,526.87,1274,1985,64.181
"3053","Yes",104,18535,561.1,6159,8006,76.93
"3054","Yes",21,8428,249.17,1712,3460,49.48
"3055","Yes",41,14159,289.57,2838,5923,47.915
"3056","Yes",70,24473,286.03,5081,10121,50.203
"3057","Yes",34,11504,295.55,2761,5033,54.858
"3058","Yes",119,33778,352.3,4094,12321,33.228
"3059","Yes",77,15466,497.87,387,4458,8.681
"3060","Yes",162,14043,1153.6,1306,4511,28.951
"3061","Yes",14,5056,276.9,386,1552,24.871
"3062","No",0,0,0,0,0,NA
"3063","No",3,573,523.56,18,165,10.909
"3064","Yes",671,75457,889.25,5185,20954,24.745
"3065","Yes",75,10445,718.05,2537,4129,61.443
"3066","Yes",86,8513,1010.22,2449,3729,65.674
"3067","Yes",18,8197,219.59,2073,3562,58.198
"3068","Yes",45,18662,241.13,3478,7523,46.232
"3070","Yes",62,24561,252.43,3627,9379,38.672
"3071","Yes",33,18568,177.73,3202,7455,42.951
"3072","Yes",85,32851,258.74,4847,12219,39.668
"3073","Yes",190,50474,376.43,6853,18918,36.225
"3074","Yes",115,20523,560.35,1880,7037,26.716
"3075","Yes",82,22594,362.93,1895,7469,25.372
"3076","Yes",219,32395,676.03,2820,10117,27.874
"3078","Yes",17,11638,146.07,1703,4422,38.512
"3079","Yes",41,15988,256.44,1668,5886,28.338
"3081","Yes",153,13424,1139.75,2284,4979,45.873
"3082","Yes",89,29710,299.56,2005,9651,20.775
"3083","Yes",88,31526,279.13,3100,10673,29.045
"3084","Yes",61,25517,239.06,2212,9326,23.719
