Postcode,Suburb
3000,Melbourne
3001,-
3002,East Melbourne
3003,West Melbourne
3004,"Melbourne, St Kilda Road Central, St Kilda Road Melbourne"
3005,-
3006,"South Wharf, Southbank"
3008,Docklands
3010,-
3011,"Footscray, Seddon, Seddon West"
3012,"Brooklyn, Kingsville, Maidstone, Tottenham, West Footscray"
3013,"Yarraville, Yarraville West"
3014,-
3015,"Newport, South Kingsville, Spotswood"
3016,"Williamstown, Williamstown North"
3017,-
3018,"Altona, Seaholme"
3019,"Braybrook, Robinson"
3020,"Albion, Glengala, Sunshine, Sunshine North, Sunshine West"
3021,"Albanvale, Kealba, Kings Park, St Albans"
3022,"Ardeer, Deer Park East"
3023,"Burnside, Burnside Heights, Cairnlea, Caroline Springs, Deer Park, Deer Park North, Ravenhall"
3024,"Mambourin, Manor Lakes, Mount Cottrell, Wyndham Vale"
3025,"Altona East, Altona Gate, Altona North"
3026,Laverton North
3027,Williams Landing
3028,"Altona Meadows, Laverton, Seabrook"
3029,"Hoppers Crossing, Tarneit, Truganina"
3030,"Cocoroc, Derrimut, Point Cook, Quandong, Werribee, Werribee South"
3031,"Flemington, Kensington"
3032,"Ascot Vale, Highpoint City, Maribyrnong, Travancore"
3033,Keilor East
3034,Avondale Heights
3035,-
3036,"Keilor, Keilor North"
3037,"Calder Park, Delahey, Hillside, Sydenham, Taylors Hill"
3038,"Keilor Downs, Keilor Lodge, Taylors Lakes, Watergardens"
3039,Moonee Ponds
3040,"Aberfeldie, Essendon, Essendon West"
3041,"Cross Keys, Essendon Fields, Essendon North, Strathmore, Strathmore Heights"
3042,"Airport West, Keilor Park, Niddrie, Niddrie North"
3043,"Gladstone Park, Gowanbrae, Tullamarine"
3044,"Pascoe Vale, Pascoe Vale South"
3045,Melbourne Airport
3046,"Glenroy, Hadfield, Oak Park"
3047,"Broadmeadows, Dallas, Jacana"
3048,"Coolaroo, Meadow Heights"
3049,"Attwood, Westmeadows"
3050,-
3051,"Hotham Hill, North Melbourne"
3052,"Melbourne University, Parkville"
3053,"Carlton, Carlton South"
3054,"Carlton North, Princes Hill"
3055,"Brunswick South, Brunswick West, Moonee Vale, Moreland West"
3056,"Brunswick, Brunswick Lower, Brunswick North"
3057,"Brunswick East, Sumner"
3058,"Batman, Coburg, Coburg North, Merlynston, Moreland"
3059,Greenvale
3060,Fawkner
3061,Campbellfield
3062,Somerton
3063,"Oaklands Junction, Yuroke"
3064,"Craigieburn, Donnybrook, Kalkallo, Mickleham, Roxburgh Park"
3065,Fitzroy
3066,"Collingwood, Collingwood North"
3067,Abbotsford
3068,"Clifton Hill, Fitzroy North"
3069,-
3070,"Northcote, Northcote South"
3071,Thornbury
3072,"Gilberton, Northland Centre, Preston, Preston Lower, Preston South, Preston West, Regent West"
3073,Reservoir
3074,Thomastown
3075,Lalor
3076,Epping
3077,-
3078,"Alphington, Fairfield"
3079,"Ivanhoe, Ivanhoe East, Ivanhoe North"
3080,-
3081,"Bellfield, Heidelberg Heights, Heidelberg Rgh, Heidelberg West"
3082,Mill Park
3083,"Bundoora, Kingsbury, La Trobe University"
3084,"Banyule, Eaglemont, Heidelberg, Rosanna, Viewbank"
3085,"Macleod, Macleod West, Yallambie"
3086,-
3087,"Watsonia, Watsonia North"
3088,"Briar Hill, Greensborough, St Helena"
3089,Diamond Creek
3090,Plenty
3091,Yarrambat
3093,Lower Plenty
3094,Montmorency
3095,"Eltham, Eltham North, Research"
3096,Wattle Glen
3097,"Bend Of Islands, Kangaroo Ground, Watsons Creek"
3099,"Arthurs Creek, Cottles Bridge, Hurstbridge, Nutfield, Strathewen"
3101,"Cotham, Kew"
3102,Kew East
3103,"Balwyn, Balwyn East, Deepdene, Stradbroke Park"
3104,"Balwyn North, Greythorn"
3105,Bulleen
3106,Templestowe
3107,Templestowe Lower
3108,Doncaster
3109,"Doncaster East, Doncaster Heights"
3110,-
3111,Donvale
3113,"North Warrandyte, Warrandyte"
3114,Park Orchards
3115,Wonga Park
3116,Chirnside Park
3118,-
3121,"Burnley, Burnley North, Cremorne, Richmond, Richmond East, Richmond North, Richmond South"
3122,"Auburn South, Glenferrie South, Hawthorn, Hawthorn North, Hawthorn West"
3123,"Auburn, Hawthorn East"
3124,"Camberwell, Camberwell North, Camberwell South, Camberwell West, Hartwell, Middle Camberwell"
3125,"Bennettswood, Burwood, Surrey Hills South"
3126,"Camberwell East, Canterbury"
3127,"Mont Albert, Surrey Hills, Surrey Hills North"
3128,"Box Hill, Box Hill Central, Box Hill South, Houston, Wattle Park"
3129,"Box Hill North, Kerrimuir, Mont Albert North"
3130,"Blackburn, Blackburn North, Blackburn South, Laburnum"
3131,"Brentford Square, Forest Hill, Nunawading"
3132,"Mitcham, Mitcham North, Rangeview"
3133,"Vermont, Vermont South"
3134,"Heathwood, Ringwood, Ringwood North, Warrandyte South, Warranwood"
3135,"Bedford Road, Heathmont, Ringwood East"
3136,"Croydon, Croydon Hills, Croydon North, Croydon South"
3137,"Kilsyth, Kilsyth South"
3138,Mooroolbark
3139,"Beenak, Don Valley, Hoddles Creek, Launching Place, Seville, Seville East, Wandin East, Wandin North, Woori Yallock, Yellingbo"
3140,Lilydale
3141,South Yarra
3142,"Hawksburn, Toorak"
3143,"Armadale, Armadale North"
3144,"Kooyong, Malvern, Malvern North"
3145,"Caulfield East, Central Park, Darling, Darling South, Malvern East, Wattletree Road Po"
3146,"Glen Iris, Tooronga"
3147,"Ashburton, Ashwood"
3148,"Chadstone, Chadstone Centre, Holmesglen, Jordanville"
3149,"Mount Waverley, Pinewood, Syndal"
3150,"Brandon Park, Glen Waverley, Wheelers Hill"
3151,"Burwood East, Burwood Heights"
3152,"Knox City Centre, Studfield, Wantirna, Wantirna South"
3153,"Bayswater, Bayswater North"
3154,The Basin
3155,Boronia
3156,"Ferntree Gully, Lysterfield, Lysterfield South, Mountain Gate, Upper Ferntree Gully"
3157,-
3158,Upwey
3159,"Menzies Creek, Selby"
3160,"Belgrave, Belgrave Heights, Belgrave South, Tecoma"
3161,"Caulfield Junction, Caulfield North"
3162,"Caulfield, Caulfield South, Hopetoun Gardens"
3163,"Booran Road Po, Carnegie, Glen Huntly, Murrumbeena"
3164,-
3165,Bentleigh East
3166,"Hughesdale, Huntingdale, Oakleigh, Oakleigh East"
3167,Oakleigh South
3168,"Clayton, Notting Hill"
3169,"Clarinda, Clayton South"
3170,"Mulgrave, Waverley Gardens"
3171,"Sandown Village, Springvale"
3172,"Dingley Village, Springvale South"
3173,Keysborough
3174,"Noble Park, Noble Park North"
3175,"Bangholme, Dandenong, Dandenong East, Dandenong North, Dandenong South, Dunearn"
3176,-
3177,"Doveton, Eumemmerring"
3178,Rowville
3179,Scoresby
3180,Knoxfield
3181,"Prahran, Prahran East, Windsor"
3182,"St Kilda, St Kilda South, St Kilda West"
3183,"Balaclava, St Kilda East"
3184,"Brighton Road, Elwood"
3185,"Elsternwick, Gardenvale, Ripponlea"
3186,"Brighton, Brighton North, Dendy, Were Street Po"
3187,"Brighton East, North Road"
3188,"Hampton, Hampton East, Hampton North"
3189,"Moorabbin, Moorabbin East, Wishart"
3190,Highett
3191,Sandringham
3192,"Cheltenham, Cheltenham East, Southland Centre"
3193,"Beaumaris, Black Rock, Black Rock North, Cromer"
3194,"Mentone, Mentone East, Moorabbin Airport"
3195,"Aspendale, Aspendale Gardens, Braeside, Mordialloc, Parkdale, Waterways"
3196,"Bonbeach, Chelsea, Chelsea Heights, Edithvale"
3197,"Carrum, Patterson Lakes"
3198,Seaford
3199,"Frankston, Frankston East, Frankston Heights, Frankston South, Karingal, Karingal Centre"
3200,"Frankston North, Pines Forest"
3201,Carrum Downs
3202,Heatherton
3204,"Bentleigh, Mckinnon, Ormond, Patterson"
3205,South Melbourne
3206,"Albert Park, Middle Park"
3207,"Garden City, Port Melbourne"
3210,-
3211,Little River
3212,"Avalon, Lara, Point Wilson"
3213,"Anakie, Batesford, Lovely Banks, Moorabool"
3214,"Corio, Norlane, North Shore"
3215,"Bell Park, Bell Post Hill, Drumcondra, Geelong North, Hamlyn Heights, North Geelong, Rippleside"
3216,"Belmont, Grovedale, Grovedale East, Highton, Marshall, Wandana Heights, Waurn Ponds"
3217,"Armstrong Creek, Charlemont, Freshwater Creek, Mount Duneed"
3218,"Fyansford, Geelong West, Herne Hill, Manifold Heights, Murgheboluc, Stonehaven"
