"Postcode","Exclude","Confirmed cases (ever)","Population","Cases.per.100K","Transport_postal_warehouse","Transport_percentage","Employed.15.over"
"3000","Yes",90,37975,237,360,2.243,16052
"3002","Yes",7,4964,141.02,71,2.347,3025
"3003","Yes",34,5515,616.5,96,3.16,3038
"3004","Yes",34,9307,365.32,153,2.868,5334
"3005","No",0,525,0,13,5.039,258
"3006","Yes",46,18808,244.58,280,2.593,10800
"3008","Yes",32,10437,306.6,185,3.28,5641
"3010","No",0,1593,0,3,0.43,698
"3011","Yes",99,21462,461.28,516,4.632,11141
"3012","Yes",129,26298,490.53,802,6.085,13180
"3013","Yes",38,14965,253.93,366,4.5,8134
"3015","Yes",34,17472,194.6,538,5.773,9319
"3016","Yes",30,15560,192.8,356,4.673,7619
"3018","Yes",28,12689,220.66,426,7.071,6025
"3019","Yes",107,9195,1163.68,250,7.165,3489
"3020","Yes",300,44783,669.9,1510,8.652,17452
"3021","Yes",407,54191,751.05,1895,9.757,19421
"3022","No",93,3103,2997.1,119,9.497,1253
"3023","Yes",329,63972,514.29,2739,9.903,27657
"3024","Yes",151,23849,633.15,1110,10.484,10588
"3025","Yes",43,12152,353.85,394,8.491,4640
"3026","No",53,73,72602.74,18,62.069,29
"3027","Yes",45,6646,677.1,256,7.667,3339
"3028","Yes",80,29201,273.96,1326,9.867,13439
"3029","Yes",830,93950,883.45,4905,11.71,41886
"3030","Yes",456,100313,454.58,4069,8.833,46067
"3031","Yes",329,18531,1775.4,392,4.072,9626
"3032","Yes",135,29450,458.4,766,4.906,15613
"3033","Yes",35,14514,241.15,498,7.67,6493
"3034","Yes",68,11633,584.54,317,6.607,4798
"3036","Yes",31,5925,523.21,238,8.235,2890
"3037","Yes",255,51155,498.48,2399,9.993,24008
"3038","Yes",88,27262,322.79,1257,9.363,13425
"3039","Yes",66,14250,463.16,336,4.422,7599
"3040","Yes",88,25936,339.3,757,5.476,13824
"3041","Yes",28,12412,225.59,410,6.469,6338
"3042","Yes",48,15766,304.45,655,8.643,7578
"3043","Yes",48,17716,270.94,902,11.419,7899
"3044","Yes",102,27116,376.16,723,5.497,13153
"3045","No",0,104,0,8,26.667,30
"3046","Yes",173,34063,507.88,1035,7.109,14560
"3047","Yes",166,20903,794.14,599,10.492,5709
"3048","Yes",87,18029,482.56,538,10.496,5126
"3049","Yes",28,9262,302.31,489,10.64,4596
"3050","No",1,117,854.7,3,12.5,24
"3051","Yes",218,14940,1459.17,204,2.975,6856
"3052","Yes",30,5694,526.87,73,2.627,2779
"3053","Yes",104,18535,561.1,145,2.28,6359
"3054","Yes",21,8428,249.17,108,2.143,5039
"3055","Yes",41,14159,289.57,299,3.91,7648
"3056","Yes",70,24473,286.03,411,2.841,14465
"3057","Yes",34,11504,295.55,186,2.644,7036
"3058","Yes",119,33778,352.3,724,4.318,16767
"3059","Yes",77,15466,497.87,711,9.049,7857
"3060","Yes",162,14043,1153.6,383,7.758,4937
"3061","Yes",14,5056,276.9,123,8.554,1438
"3062","No",NA,NA,NA,NA,NA,NA
"3063","No",3,573,523.56,30,10.714,280
"3064","Yes",671,75457,889.25,3299,10.648,30981
"3065","Yes",75,10445,718.05,131,2.414,5427
"3066","Yes",86,8513,1010.22,115,2.441,4711
"3067","Yes",18,8197,219.59,147,2.841,5174
"3068","Yes",45,18662,241.13,193,1.809,10671
"3070","Yes",62,24561,252.43,312,2.312,13495
"3071","Yes",33,18568,177.73,301,3.044,9887
